Código,Cuenta,Nivel,Primer Nivel,COMPLETO
11298,Otras inversiones a corto plazo,4,ACTIVO,TODO
1129801,Rentas a cobrar por títulos y valores c/p,5,ACTIVO,TODO
112980101,Rentas a cobrar por títulos y valores del sector privado interno c/p,6,ACTIVO,TODO
112980102,Rentas a cobrar por títulos y valores del sector público interno c/p,6,ACTIVO,TODO
112980103,Rentas a cobrar por títulos y valores del sector externo c/p,6,ACTIVO,TODO
1129802,Títulos y valores al costo c/p,5,ACTIVO,TODO
112980201,Títulos y valores al costo del sector privado interno c/p,6,ACTIVO,TODO
112980202,Títulos y valores al costo del sector público interno c/p,6,ACTIVO,TODO
112980203,Títulos y valores al costo del sector externo c/p,6,ACTIVO,TODO
1129899,Inversiones varias c/p,5,ACTIVO,TODO
112989901,Inversiones varias en el sector privado interno c/p,6,ACTIVO,TODO
112989902,Inversiones varias en el sector público interno c/p,6,ACTIVO,TODO
112989903,Inversiones varias en el sector externo c/p,6,ACTIVO,TODO
11299,Previsiones para deterioro de inversiones a corto plazo *,4,ACTIVO,TODO
1129902,Previsiones para títulos a costo amortizado c/p *,5,ACTIVO,TODO
112990201,Previsiones para títulos a costo amortizado del sector privado interno c/p *,6,ACTIVO,TODO
112990202,Previsiones para títulos a costo amortizado del sector público interno c/p *,6,ACTIVO,TODO
112990203,Previsiones para títulos a costo amortizado del sector externo c/p *,6,ACTIVO,TODO
1129998,Previsiones para otras inversiones financieras c/p *,5,ACTIVO,TODO
112999801,Previsiones para rentas a cobrar por títulos y valores c/p *,6,ACTIVO,TODO
112999802,Previsiones para títulos y valores al costo c/p *,6,ACTIVO,TODO
112999899,Previsiones para otras inversiones c/p *,6,ACTIVO,TODO
113,Cuentas a cobrar a c/p,3,ACTIVO,TODO
11301,Impuestos a cobrar a c/p,4,ACTIVO,TODO
1130101,"Impuestos sobre los ingresos, las utilidades y las",5,ACTIVO,TODO
113010101,"Impuestos sobre los ingresos, las utilidades y las ganancias de capital a cobrar c/p",6,ACTIVO,TODO
113010102,Impuestos sobre otros ingresos y utilidades de personas físicas a cobrar c/p,6,ACTIVO,TODO
113010103,Impuestos sobre dividendos e intereses de títulos valores a cobrar c/p,6,ACTIVO,TODO
113010199,"Otros impuestos sobre los ingresos, las utilidades y las ganancias de capital a cobrar c/p",6,ACTIVO,TODO
1130102,Impuestos sobre la propiedad a cobrar c/p,5,ACTIVO,TODO
113010201,Impuesto sobre la propiedad de bienes inmuebles a cobrar c/p,6,ACTIVO,TODO
113010202,"Impuesto sobre la propiedad de vehículos, aeronaves y embarcaciones a cobrar c/p",6,ACTIVO,TODO
113010203,Impuesto sobre el patrimonio a cobrar c/p,6,ACTIVO,TODO
113010204,Impuesto sobre los traspasos de bienes inmuebles a cobrar c/p,6,ACTIVO,TODO
113010205,"Impuesto a los traspasos de vehículos, aeronaves y embarcaciones a cobrar c/p",6,ACTIVO,TODO
113010299,Otros impuestos a la propiedad a cobrar c/p,6,ACTIVO,TODO
1130103,Impuestos sobre bienes y servicios a cobrar c/p,5,ACTIVO,TODO
113010301,Impuestos generales y selectivos sobre ventas y consumo a cobrar c/p,6,ACTIVO,TODO
113010302,Impuestos específicos sobre la producción y consumo de bienes y servicios a cobrar c/p,6,ACTIVO,TODO
113010399,Otros Impuestos sobre bienes y servicios a cobrar c/p,6,ACTIVO,TODO
1130104,Impuestos sobre el comercio exterior y transacciones internacionales a cobrar c/p,5,ACTIVO,TODO
113010401,Impuestos a las importaciones a cobrar c/p,6,ACTIVO,TODO
113010402,Impuestos a las exportaciones a cobrar c/p,6,ACTIVO,TODO
113010499,Otros impuestos sobre el comercio exterior y transacciones internacionales a cobrar c/p,6,ACTIVO,TODO
1130199,Otros impuestos a cobrar c/p,5,ACTIVO,TODO
113019999,Otros impuestos sin discriminar a cobrar c/p,6,ACTIVO,TODO
11302,Contribuciones sociales a cobrar a corto plazo,4,ACTIVO,TODO
1130201,Contribuciones a la seguridad social a cobrar c/p,5,ACTIVO,TODO
113020101,Contribuciones al seguro de pensiones a cobrar c/p,6,ACTIVO,TODO
113020102,Contribuciones a regímenes especiales de pensiones a cobrar c/p,6,ACTIVO,TODO
113020103,Contribuciones al seguro de salud a cobrar c/p,6,ACTIVO,TODO
1130299,Contribuciones sociales diversas a cobrar c/p,5,ACTIVO,TODO
113029999,Otras contribuciones sociales a cc/p,6,ACTIVO,TODO
11303,Ventas a cobrar a corto plazo,4,ACTIVO,TODO
1130301,Ventas de bienes a cobrar c/p,5,ACTIVO,TODO
113030101,Ventas de materias primas a cobrar c/p,6,ACTIVO,TODO
113030102,Ventas de productos terminados a cobrar c/p,6,ACTIVO,TODO
113030103,Ventas de construcciones terminadas a cobrar c/p,6,ACTIVO,TODO
113030104,"Ventas de propiedades, planta y equipos a cobrar c/p",6,ACTIVO,TODO
113030105,Ventas de bienes intangibles a cobrar c/p,6,ACTIVO,TODO
1130302,Arrendamientos financieros a cobrar c/p,5,ACTIVO,TODO
113030202,Arrendamientos financieros de productos terminados a cobrar c/p,6,ACTIVO,TODO
113030203,Arrendamientos financieros de construcciones terminadas a cobrar c/p,6,ACTIVO,TODO
113030204,"Arrendamientos financieros de propiedades, planta y equipos a cobrar c/p",6,ACTIVO,TODO
113030205,Arrendamientos financieros de bienes intangibles a cobrar c/p,6,ACTIVO,TODO
1130303,Ventas de inversiones a cobrar c/p,5,ACTIVO,TODO
113030301,Ventas de títulos y valores a cobrar c/p,6,ACTIVO,TODO
113030302,Ventas de inversiones patrimoniales a cobrar c/p,6,ACTIVO,TODO
113030399,Ventas de otras inversiones a cobrar c/p,6,ACTIVO,TODO
11304,Servicios y derechos a cobrar a corto plazo,4,ACTIVO,TODO
1130401,Servicios a cobrar c/p,5,ACTIVO,TODO
113040101,Servicios de transporte a cobrar c/p,6,ACTIVO,TODO
113040102,"Servicios de telecomunicaciones, telemáticos y correos a cobrar c/p",6,ACTIVO,TODO
113040103,Servicios financieros y de seguros a cobrar c/p,6,ACTIVO,TODO
113040104,Servicios comunitarios a cobrar c/p,6,ACTIVO,TODO
113040105,Servicios Comerciales,6,ACTIVO,TODO
113040199,Otras ventas de servicios a cobrar c/p,6,ACTIVO,TODO
1130402,Derechos administrativos a cobrar c/p,5,ACTIVO,TODO
113040201,Derechos administrativos a los servicios de transporte a cobrar c/p,6,ACTIVO,TODO
113040299,Otros derechos administrativos a cobrar c/p,6,ACTIVO,TODO
1130403,Comisiones por préstamos a cobrar c/p,5,ACTIVO,TODO
113040301,Comisiones por préstamos al sector privado interno a cobrar c/p,6,ACTIVO,TODO
113040302,Comisiones por préstamos al sector público interno a cobrar c/p,6,ACTIVO,TODO
113040303,Comisiones por préstamos al sector externo a cobrar c/p,6,ACTIVO,TODO
11305,Ingresos de la propiedad a cobrar a corto plazo,4,ACTIVO,TODO
1130501,Alquileres y derechos sobre bienes a cobrar c/p,5,ACTIVO,TODO
113050101,Alquileres a cobrar c/p,6,ACTIVO,TODO
113050102,Ingresos por concesiones a cobrar c/p,6,ACTIVO,TODO
113050103,Derechos sobre bienes intangibles a cobrar c/p,6,ACTIVO,TODO
1130599,Otros ingresos de la propiedad a cobrar c/p,5,ACTIVO,TODO
113059999,Otros ingresos varios de la propiedad a cobrar c/p,6,ACTIVO,TODO
11306,Transferencias a cobrar a c/p,4,ACTIVO,TODO
1130601,Transferencias del sector privado interno a cc/p,5,ACTIVO,TODO
113060101,Transferencias de empresas privadas a cobrar c/p,6,ACTIVO,TODO
113060199,Transferencias de otras unidades del sector privado interno a cobrar c/p,6,ACTIVO,TODO
1130602,Transferencias del sector público interno a cobrar c/p,5,ACTIVO,TODO
113060201,Transferencias del Gobierno Central a cobrar c/p,6,ACTIVO,TODO
113060202,Transferencias de Órganos Desconcentrados a cobrar c/p,6,ACTIVO,TODO
113060203,Transferencias de Instituciones Descentralizadas no Empresariales a cobrar c/p,6,ACTIVO,TODO
113060204,Transferencias de Gobiernos Locales a cobrar c/p,6,ACTIVO,TODO
113060205,Transferencias de Empresas Públicas no Financieras a cobrar c/p,6,ACTIVO,TODO
113060206,Transferencias de Instituciones Públicas Financieras a cobrar c/p,6,ACTIVO,TODO
113060299,Transferencias de otras Instituciones de Gobiernos Locales a cobrar c/p,6,ACTIVO,TODO
1130603,Transferencias del sector externo a cobrar c/p,5,ACTIVO,TODO
113060301,Transferencias de Organismos Internacionales a cobrar c/p,6,ACTIVO,TODO
113060302,Transferencias de Gobiernos Extranjeros a cobrar c/p,6,ACTIVO,TODO
113060399,Transferencias de otras unidades del Sector Externo a cobrar c/p,6,ACTIVO,TODO
11307,Préstamos a corto plazo,4,ACTIVO,TODO
1130701,Préstamos al sector privado interno c/p,5,ACTIVO,TODO
113070101,Préstamos a empresas privadas c/p,6,ACTIVO,TODO
113070199,Préstamos a otras unidades del sector privado c/p,6,ACTIVO,TODO
1130702,Préstamos al sector público interno c/p,5,ACTIVO,TODO
113070201,Préstamos al Gobierno Central c/p,6,ACTIVO,TODO
113070202,Préstamos a Órganos Desconcentrados c/p,6,ACTIVO,TODO
113070203,Préstamos a Instituciones Descentralizadas no Empresariales c/p,6,ACTIVO,TODO
113070204,Préstamos a Gobiernos Locales c/p,6,ACTIVO,TODO
113070205,Préstamos a Empresas Públicas no Financieras c/p,6,ACTIVO,TODO
113070206,Préstamos a Instituciones Públicas Financieras c/p,6,ACTIVO,TODO
113070299,Préstamos a otras Instituciones de Gobiernos Locales c/p,6,ACTIVO,TODO
1130703,Préstamos al sector externo c/p,5,ACTIVO,TODO
113070301,Préstamos a gobiernos extranjeros c/p,6,ACTIVO,TODO
113070302,Préstamos a organismos financieros internacionales c/p,6,ACTIVO,TODO
113070399,Préstamos a otras unidades del sector externo c/p,6,ACTIVO,TODO
11308,Documentos a cobrar a corto plazo,4,ACTIVO,TODO
1130801,Documentos a cobrar por ventas internas de bienes y servicios c/p,5,ACTIVO,TODO
113080101,Documentos a cobrar por ventas internas de bienes c/p,6,ACTIVO,TODO
113080102,Documentos a cobrar por ventas internas de servicios c/p,6,ACTIVO,TODO
1130802,Documentos a cobrar por fraccionamiento y arreglos de pago c/p,5,ACTIVO,TODO
113080201,Documentos a cobrar por fraccionamientos de pago por impuestos c/p,6,ACTIVO,TODO
113080202,Documentos a cobrar por fraccionamientos de pago por contribuciones sociales c/p,6,ACTIVO,TODO
113080203,Documentos a cobrar por otros fraccionamientos de acreditaciones que no corresponden,6,ACTIVO,TODO
113080204,Documentos a cobrar por fraccionamientos a funcionarios por recuperación de perdida de activos,6,ACTIVO,TODO
113080299,Documentos a cobrar por otros fraccionamientos y arreglos de pago c/p,6,ACTIVO,TODO
1130803,Documentos a cobrar por deudores por pérdidas y deterioro de bienes c/p,5,ACTIVO,TODO
113080301,Documentos a cobrar por deudores por pérdidas y deterioro de inventarios c/p,6,ACTIVO,TODO
113080302,Documentos a cobrar por deudores por pérdidas y deterioro de bienes no concesionados c/p,6,ACTIVO,TODO
113080303,Documentos a cobrar por deudores por pérdidas y deterioro de bienes concesionados c/p,6,ACTIVO,TODO
113080399,Documentos a cobrar por deudores por pérdidas de otros bienes c/p,6,ACTIVO,TODO
1130804,Documentos a cobrar por deudores del exterior c/p,5,ACTIVO,TODO
113080499,Documentos a cobrar por deudores varios del exterior c/p,6,ACTIVO,TODO
1130899,Otros documentos internos a cobrar c/p,5,ACTIVO,TODO
113089999,Otros documentos internos varios a cobrar c/p,6,ACTIVO,TODO
11309,Anticipos a corto plazo,4,ACTIVO,TODO
1130901,Anticipos al sector privado interno c/p,5,ACTIVO,TODO
113090101,Anticipos a proveedores y contratistas del país c/p,6,ACTIVO,TODO
113090102,Anticipos a funcionarios y servidores públicos c/p,6,ACTIVO,TODO
113090199,Otros anticipos a unidades del sector privado interno c/p,6,ACTIVO,TODO
1130902,Anticipos al sector público interno c/p,5,ACTIVO,TODO
113090201,Anticipos al Gobierno Central c/p,6,ACTIVO,TODO
113090202,Anticipos a Órganos Desconcentrados c/p,6,ACTIVO,TODO
113090203,Anticipos a Instituciones Descentralizadas no Empresariales c/p,6,ACTIVO,TODO
113090204,Anticipos a Gobiernos Locales c/p,6,ACTIVO,TODO
113090205,Anticipos a Empresas Públicas no Financieras c/p,6,ACTIVO,TODO
113090206,Anticipos a Instituciones Públicas Financieras c/p,6,ACTIVO,TODO
113090299,Anticipos a otras Instituciones de Gobiernos Locales c/p,6,ACTIVO,TODO
1130903,Anticipos al sector externo c/p,5,ACTIVO,TODO
113090301,Anticipos a proveedores y contratistas del exterior c/p,6,ACTIVO,TODO
113090302,Anticipos a gobiernos extranjeros c/p,6,ACTIVO,TODO
113090303,Anticipos a organismos internacionales c/p,6,ACTIVO,TODO
113090399,Anticipos a otras unidades del sector externo c/p,6,ACTIVO,TODO
11310,Deudores por avales ejecutados a corto plazo,4,ACTIVO,TODO
1131001,Deudores por avales ejecutados al sector privado interno c/p,5,ACTIVO,TODO
113100101,Deudores por avales ejecutados a empresas privadas c/p,6,ACTIVO,TODO
113100199,Deudores por avales ejecutados a otras unidades del sector privado interno c/p,6,ACTIVO,TODO
1131002,Deudores por avales ejecutados al sector público interno c/p,5,ACTIVO,TODO
113100201,Deudores por avales ejecutados al Gobierno Central c/p,6,ACTIVO,TODO
113100202,Deudores por avales ejecutados a Órganos Desconcentrados c/p,6,ACTIVO,TODO
113100203,Deudores por avales ejecutados a Instituciones Descentralizadas no Empresariales c/p,6,ACTIVO,TODO
113100204,Deudores por avales ejecutados a Gobiernos Locales c/p,6,ACTIVO,TODO
113100205,Deudores por avales ejecutados a Empresas Públicas no Financieras c/p,6,ACTIVO,TODO
113100206,Deudores por avales ejecutados a Instituciones Públicas Financieras c/p,6,ACTIVO,TODO
113100299,Deudores por avales ejecutados a otras Instituciones de Gobiernos Locales c/p,6,ACTIVO,TODO
11311,Planillas salariales,4,ACTIVO,TODO
1131102,Planillas salariales del sector público interno a cobrar c/p,5,ACTIVO,TODO
113110201,Planillas salariales del Gobierno Central a cobrar c/p,6,ACTIVO,TODO
113110202,Planillas salariales de Órganos Desconcentrados a cobrar c/p,6,ACTIVO,TODO
11312,Beneficios Sociales,4,ACTIVO,TODO
1131202,Beneficios Sociales del sector público interno a cobrar c/p,5,ACTIVO,TODO
113120201,Cesantias administradas por entidades privadas,6,ACTIVO,TODO
113120202,Prestaciones canceladas,6,ACTIVO,TODO
11313,Cuentas por Cobrar Cajas Unicas,4,ACTIVO,TODO
1131301,Cuentas por Cobrar Cajas Unicas,5,ACTIVO,TODO
113130101,Cuentas por Cobrar Cuenta Presupuestaria,6,ACTIVO,TODO
11350,Registro transitorio de transaccion de activo fijo,4,ACTIVO,TODO
1135061,Bienes recibidos dacion pago sujeto a reclasificar,5,ACTIVO,TODO
113506121,Bienes recibidos dacion pago sujeto a reclasificar,6,ACTIVO,TODO
11397,Cuentas a cobrar en gestión judicial,4,ACTIVO,TODO
1139701,Impuestos a cobrar en gestión judicial,5,ACTIVO,TODO
113970101,"Impuestos sobre los ingresos, las utilidades y las ganancias de capital a cobrar en gestión judicial",6,ACTIVO,TODO
113970102,Impuestos sobre la propiedad a cobrar en gestión judicial,6,ACTIVO,TODO
113970103,Impuestos sobre bienes y servicios a cobrar en gestión judicial,6,ACTIVO,TODO
113970104,Impuestos sobre el comercio exterior y transacciones internacionales a cobrar en gestión judicial,6,ACTIVO,TODO
113970199,Otros impuestos a cobrar en gestión judicial,6,ACTIVO,TODO
1139702,Contribuciones sociales a cobrar en gestión judicial,5,ACTIVO,TODO
113970201,Contribuciones a la seguridad social a cobrar en gestión judicial,6,ACTIVO,TODO
113970202,Contribuciones sociales diversas a cobrar en gestión judicial,6,ACTIVO,TODO
1139703,Ventas a cobrar en gestión judicial,5,ACTIVO,TODO
113970301,Ventas de bienes a cobrar en gestión judicial,6,ACTIVO,TODO
113970302,Arrendamientos financieros a cobrar en gestión judicial,6,ACTIVO,TODO
113970303,Ventas de inversiones a cobrar en gestión judicial,6,ACTIVO,TODO
1139704,Servicios y derechos a cobrar en gestión judicial,5,ACTIVO,TODO
113970401,Servicios a cobrar en gestión judicial,6,ACTIVO,TODO
113970402,Derechos administrativos a cobrar en gestión judicial,6,ACTIVO,TODO
113970403,Comisiones por préstamos a cobrar en gestión judicial,6,ACTIVO,TODO
1139705,Ingresos de la propiedad a cobrar en gestión judicial,5,ACTIVO,TODO
113970501,Alquileres y derechos sobre bienes a cobrar en gestión judicial,6,ACTIVO,TODO
113970502,Otros ingresos de la propiedad a cobrar en gestión judicial,6,ACTIVO,TODO
1139707,Préstamos en gestión judicial,5,ACTIVO,TODO
113970701,Préstamos al sector privado interno en gestión judicial,6,ACTIVO,TODO
113970702,Préstamos al sector público interno en gestión judicial,6,ACTIVO,TODO
113970703,Préstamos al sector externo en gestión judicial,6,ACTIVO,TODO
1139708,Documentos a cobrar en gestión judicial,5,ACTIVO,TODO
113970801,Documentos a cobrar por ventas internas de bienes y servicios en gestión judicial,6,ACTIVO,TODO
113970802,Documentos a cobrar por fraccionamiento y arreglos de pago en gestión judicial,6,ACTIVO,TODO
113970803,Documentos a cobrar por deudores por pérdidas y deterioro de bienes en gestión judicial,6,ACTIVO,TODO
113970804,Documentos a cobrar por deudores del exterior en gestión judicial,6,ACTIVO,TODO
113970899,Otros documentos internos a cobrar en gestión judicial,6,ACTIVO,TODO
1139710,Deudores por avales ejecutados en gestión judicial,5,ACTIVO,TODO
113971001,Deudores por avales ejecutados al sector privado interno en gestión judicial,6,ACTIVO,TODO
113971002,Deudores por avales ejecutados al sector público interno en gestión judicial,6,ACTIVO,TODO
1139799,Otras cuentas a cobrar en gestión judicial,5,ACTIVO,TODO
113979999,Otras cuentas varias a cobrar en gestión judicial,6,ACTIVO,TODO
11398,Otras cuentas a cobrar a corto plazo,4,ACTIVO,TODO
1139801,"Multas, sanciones, remates y confiscaciones de origen no tributario a cobrar c/p",5,ACTIVO,TODO
113980101,Multas y sanciones administrativas a cobrar c/p,6,ACTIVO,TODO
113980102,Remates y confiscaciones de origen no tributario a cobrar c/p,6,ACTIVO,TODO
1139802,Cuentas a cobrar a valor razonable c/p,5,ACTIVO,TODO
113980208,Documentos a cobrar a valor razonable c/p,6,ACTIVO,TODO
113980299,Otras cuentas a cobrar a valor razonable c/p,6,ACTIVO,TODO
1139803,Depósitos en garantía c/p,5,ACTIVO,TODO
113980301,Depósitos en garantía en el sector privado interno c/p,6,ACTIVO,TODO
113980302,Depósitos en garantía en el sector público interno c/p,6,ACTIVO,TODO
113980303,Depósitos en garantía en el sector externo c/p,6,ACTIVO,TODO
1139804,"Multas, sanciones, remates y confiscaciones de origen tributario a cobrar c/p",5,ACTIVO,TODO
113980401,Multas y sanciones administrativas a cobrar c/p,6,ACTIVO,TODO
113980402,Remates y confiscaciones de origen tributario a cobrar c/p,6,ACTIVO,TODO
1139899,Créditos varios c/p,5,ACTIVO,TODO
113989901,Créditos varios con el sector privado interno c/p,6,ACTIVO,TODO
113989902,Créditos varios con el sector público interno c/p,6,ACTIVO,TODO
113989903,Créditos varios con el sector externo c/p,6,ACTIVO,TODO
11399,Previsiones para deterioro de cuentas a cobrar a corto plazo *,4,ACTIVO,TODO
1139901,Previsiones para impuestos a cobrar c/p *,5,ACTIVO,TODO
113990101,"Previsiones para impuestos sobre los ingresos, las utilidades y las ganancias de capital a cobrar c/p *",6,ACTIVO,TODO
113990102,Previsiones para impuestos sobre la propiedad a cobrar c/p *,6,ACTIVO,TODO
113990103,Previsiones para impuestos sobre bienes y servicios a cobrar c/p *,6,ACTIVO,TODO
113990104,Previsiones para impuestos sobre el comercio exterior y transacciones internacionales a cobrar c/p *,6,ACTIVO,TODO
113990199,Previsiones para otros impuestos a cobrar c/p *,6,ACTIVO,TODO
1139902,Previsiones para contribuciones sociales a cobrar c/p *,5,ACTIVO,TODO
113990201,Previsiones para contribuciones a la seguridad social a cobrar c/p *,6,ACTIVO,TODO
113990299,Previsiones para contribuciones sociales diversas a cobrar c/p *,6,ACTIVO,TODO
1139903,Previsiones para ventas a cobrar c/p *,5,ACTIVO,TODO
113990301,Previsiones para ventas de bienes a cobrar c/p *,6,ACTIVO,TODO
113990302,Previsiones para arrendamientos financieros a cobrar c/p *,6,ACTIVO,TODO
113990303,Previsiones para ventas de inversiones a cobrar c/p *,6,ACTIVO,TODO
1139904,Previsiones para servicios a cobrar c/p *,5,ACTIVO,TODO
113990401,Previsiones para ventas de servicios a cobrar c/p *,6,ACTIVO,TODO
113990402,Previsiones para derechos administrativos a cobrar c/p *,6,ACTIVO,TODO
113990403,Previsiones para comisiones por préstamos a cobrar c/p *,6,ACTIVO,TODO
1139905,Previsiones para ingresos de la propiedad a cobrar c/p *,5,ACTIVO,TODO
113990501,Previsiones para alquileres y derechos sobre bienes a cobrar c/p *,6,ACTIVO,TODO
113990502,Previsiones para otros ingresos de la propiedad a cobrar c/p *,6,ACTIVO,TODO
1139907,Previsiones para préstamos c/p *,5,ACTIVO,TODO
113990701,Previsiones para préstamos al sector privado interno c/p *,6,ACTIVO,TODO
113990702,Previsiones para préstamos al sector público interno c/p *,6,ACTIVO,TODO
113990703,Previsiones para préstamos al sector externo c/p *,6,ACTIVO,TODO
1139908,Previsiones para documentos a cobrar c/p *,5,ACTIVO,TODO
113990801,Previsiones para documentos a cobrar por ventas internas de bienes y servicios c/p *,6,ACTIVO,TODO
113990802,Previsiones para documentos a cobrar por fraccionamientos y arreglos de pago c/p *,6,ACTIVO,TODO
113990803,Previsiones para documentos a cobrar por deudores por pérdidas y deterioro de bienes c/p *,6,ACTIVO,TODO
113990804,Previsiones para documentos a cobrar por deudores del exterior c/p *,6,ACTIVO,TODO
113990899,Previsiones para otros documentos internos a cobrar c/p *,6,ACTIVO,TODO
1139909,Previsiones para anticipos c/p *,5,ACTIVO,TODO
113990901,Previsiones para anticipos al sector privado interno c/p *,6,ACTIVO,TODO
113990902,Previsiones para anticipos al sector público interno c/p *,6,ACTIVO,TODO
113990903,Previsiones para anticipos al sector externo c/p *,6,ACTIVO,TODO
1139910,Previsiones para deudores por avales ejecutados c/p *,5,ACTIVO,TODO
